rank,weeks_hindex,peak_hindex,integrated_hindex,total_songs,artist
536,7,12,3.37,15,"Jackie DeShannon"
537,7,15,5.65,15,"Roger Miller"
538,7,15,6.32,15,"The Mamas & The Papas"
539,7,13,5.92,15,"The Staple Singers"
540,7,12,5.49,14,"Steve Lawrence"
541,7,13,4.99,14,"The Ventures"
542,7,12,4.51,14,"The Searchers"
543,7,12,5.40,14,"The Vogues"
544,7,12,6.57,14,"Ronnie Milsap"
545,7,13,5.89,14,"Nelly"
546,7,10,4.98,13,"Henry Mancini And His Orchestra"
547,7,9,4.26,13,"Trini Lopez"
548,7,11,4.04,13,"Sam & Dave"
549,7,11,5.56,13,"The Association"
550,7,10,3.83,13,"Tommy James"
551,7,13,6.68,13,"The Jacksons"
552,7,10,6.58,13,"Sam Smith"
553,7,9,4.75,12,"Jerry Wallace"
554,7,11,4.79,12,"Hank Ballard And The Midnighters"
555,7,10,4.35,12,"The Tokens"
556,7,10,4.92,12,"Lou Christie"
557,7,10,5.11,12,"Major Lance"
558,7,10,4.89,12,"Andy Kim"
559,7,8,4.63,12,"The Whispers"
560,7,11,6.85,12,"Jennifer Lopez"
561,7,9,5.69,12,"Chris Stapleton"
562,7,9,5.45,11,"Jimmy Clanton"
563,7,11,3.95,11,"LaVern Baker"
564,7,10,3.73,11,"Adam Wade"
565,7,10,4.09,11,"Bert Kaempfert And His Orchestra"
566,7,10,4.00,11,"Linda Scott"
567,7,10,5.68,11,"Gerry And The Pacemakers"
568,7,9,5.14,11,"Chad & Jeremy"
569,7,11,5.88,11,"The Animals"
570,7,8,4.89,11,"Van Morrison"
571,7,10,5.64,11,"Rita Coolidge"
572,7,9,4.13,11,"The Main Ingredient"
573,7,11,5.06,11,"Billy Squier"
574,7,9,4.61,11,"Bananarama"
575,7,9,6.84,11,"Colbie Caillat"
576,7,10,6.24,11,"Paramore"
577,7,9,4.98,10,"Johnny Nash"
578,7,9,5.33,10,"Dee Clark"
579,7,9,5.38,10,"Fabian"
580,7,8,3.67,10,"Maxine Brown"
581,7,9,5.15,10,"Jimmy Dean"
582,7,10,5.67,10,"Marvin Gaye & Tammi Terrell"
583,7,10,5.73,10,"Diana Ross & The Supremes"
584,7,9,5.42,10,"The Box Tops"
585,7,10,4.82,10,"Blood, Sweat & Tears"
586,7,10,5.58,10,"Led Zeppelin"
587,7,10,5.54,10,"Nilsson"
588,7,9,5.79,10,"Bobby Sherman"
589,7,10,4.68,10,"The Dramatics"
590,7,10,5.30,10,"Yes"
591,7,9,4.79,10,"Harold Melvin And The Blue Notes"
592,7,10,5.59,10,"Bachman-Turner Overdrive"
593,7,9,4.92,10,"Jimmy Buffett"
594,7,8,5.71,10,"Bonnie Raitt"
595,7,10,3.82,10,"Leif Garrett"
596,7,10,6.28,10,"Pretenders"
597,7,9,4.60,10,"John Waite"
598,7,9,6.66,10,"The Jets"
599,7,8,5.22,10,"Nas"
600,7,10,5.66,10,"The Fray"
601,7,8,7.25,10,"Ke$ha"
602,7,8,6.92,10,"Meghan Trainor"
603,7,9,5.03,9,"Dion & The Belmonts"
604,7,8,4.89,9,"Dee Dee Sharp"
